Tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà Kim Mã, Ba Đình vài bước ra phố, 74m2, 6t, mt 4.3m, đẹp ở ngay","21,9 tỷ","Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",74 m² (4.3x17.0),5 phòng,5 WC,6,Sổ hồng,2025-11-25
"VĨNH PHÚC - BA ĐÌNH - PHÂN LÔ VỈA HÈ – Ô TÔ TRÁNH -KD 55M2*5T 19,6TY.","19,6 tỷ","Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",55 m² (4.0x15.0),5 phòng,5 WC,5,Giấy tờ hợp lệ,2025-11-25
"( Chính chủ) tôi cần Bán Toà nhà MP Trúc Bạch Q Ba Đình, HN, Dt 230 m",160 tỷ,"Đường Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",230 m²,N/A,N/A,11,Sổ đỏ,2025-11-25
Lô góc 5T đẹp ngõ Đào Tấn ngõ ba gác cách Mp 40m cách oto 10m,"13,4 tỷ","Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",40 m²,4 phòng,4 WC,5,Sổ đỏ,2025-11-24
bán tòa nhà 220m2 x 12 tầng mặt phố đào tấn,270 tỷ,"Phường Cống Vị, Quận Ba Đình, Hà Nội",220 m²,N/A,N/A,12,Sổ đỏ,2025-11-24
"Bán nhà Đội Cấn. Giang Văn Minh. Ba Đình. Hà Nội 20m x 5 tầng 4,9 tỷ.","4,9 tỷ","Phường Đội Cấn, Quận Ba Đình, Hà Nội",20 m²,3 phòng,4 WC,5,Sổ đỏ,2025-11-24
"Bán nhà mặt phố Vạn Phúc, Ba Đình, 105m2, mặt tiền 7.6m chỉ 41.5 tỷ","41,5 tỷ","Đường Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội",105 m²,2 phòng,2 WC,2,Sổ đỏ,2025-11-16
"Bán nhà phố Điện Biên Phủ, 65m2, lô góc 8 tầng mặt tiền 8m, 33.5 tỷ","33,5 tỷ","Đường Điện Biên Phủ, Phường Điện Biên, Quận Ba Đình, Hà Nội",65 m²,12 phòng,8 WC,8,Sổ đỏ,2025-11-17
"Bán gấp nhà 4 tầng Ngọc Hà Ba Đình 8,15 tỷ","8,15 tỷ","Phường Ngọc Hà, Quận Ba Đình, Hà Nội",40 m² (4.0x10.0),3 phòng,3 WC,5,Sổ đỏ,2025-11-21
"bán lô đất mặt phố kim mã thượng 230m2 ,MT 8m",90 tỷ,"Phường Cống Vị, Quận Ba Đình, Hà Nội",190 m²,N/A,N/A,N/A,Sổ đỏ,2025-11-24
Bán toà căn hộ dịch vụ 19 Liễu Giai Ba Đình - OTO TRÁNH 110M2 9T,60 tỷ,"Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",110 m²,N/A,N/A,9,Sổ đỏ,2025-11-24
"Đất 38m² HOÀNG HOA THÁM, ngõ nông, trước nhà thoáng sáng.","7,75 tỷ","Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",38 m²,4 phòng,4 WC,5,Sổ đỏ,2025-11-24
MẶT PHỐ TT BA ĐÌNH – LÔ GÓC – VỈA HÈ – KINH DOANH ĐỈNH. 42m 5t 17 tỷ 9,Thỏa thuận,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",42 m² (6.0x7.0),4 phòng,5 WC,5,Sổ đỏ,2025-11-24
GẤP - MẶT PHỐ VĨNH PHÚC - BA ĐÌNH - 60M - 5 TẦNG - VỈA HÈ 10M,"26,5 tỷ","Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",60 m² (4.0x15.0),6 phòng,4 WC,5,Sổ đỏ,2025-11-24
"Cần bán hà riêng 91m chính chủ phường Kim Mã, phố Kim Mã quận Ba Đình",22 tỷ,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",91 m² (8.0x12.0),4 phòng,3 WC,4,Sổ đỏ,2025-11-24
bán nhà mặt phố 22A kim mã thượng 80m2 x 4 tầng,32 tỷ,"Phường Cống Vị, Quận Ba Đình, Hà Nội",80 m²,N/A,N/A,4,Sổ đỏ,2025-11-24
Dòng Tiền Ba Đình 60m2 - 7 Tầng Thang Máy - 17 Phòng KK - Gần Phố,15 tỷ,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",60 m² (4.0x12.0),11 phòng,7 WC,7,Giấy tờ hợp lệ,2025-11-23
"Bán nhà mặt phố Phạm Hồng Thái, BD,DT:55 m / 60 m x5 TG, GIÁ: 32 TY",32 tỷ,"Đường Phạm Hồng Thái, Phường Quán Thánh, Quận Ba Đình, Hà Nội",55 m² (4.0x15.0),4 phòng,5 WC,5,Sổ đỏ,2025-11-23
VIP - PHÂN LÔ 2 Ô TÔ - PHỐ VĨNH PHÚC - BA ĐÌNH -55M - 5 TẦNG - MT 4M,"19,7 tỷ","Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",55 m² (4.0x14.0),5 phòng,4 WC,5,Sổ đỏ,2025-11-23
Chính chủ cần bán biệt thự Grandeur Palace Giảng Võ,200 tỷ,"Phường Giảng Võ, Quận Ba Đình, Hà Nội",290 m²,N/A,N/A,1,Sổ đỏ,2025-11-22
"Chính chủ bán căn nhà ngõ Văn Cao, cách mặt ngõ oto 5m","10,8 tỷ","Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",37.5 m²,N/A,N/A,4,Sổ hồng,2025-11-20
Bán nhà Kim Mã. Thông Núi Trúc. Ba Đình. Hà Nội 18'5m x 6 tầng ô tô 30,"4,9 tỷ","Đường Kim Mã, Phường Giảng Võ, Quận Ba Đình, Hà Nội",19 m²,3 phòng,4 WC,6,Sổ đỏ,2025-11-22
"Tuyệt Phẩm, Bán Tòa Nhà  Phố Giang Văn Minh, Đội Cấn, BĐ: 90m2, MT 7.6",60 tỷ,"Đường Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội",90 m² (7.6x12.0),N/A,N/A,9,Sổ đỏ,2025-11-22
"Chính chủ bán nhà Văn Cao Liễu Giai. Ba Đình. Hà Nội. 19m x 5 tầng 4,9","4,95 tỷ","Phường Liễu Giai, Quận Ba Đình, Hà Nội",19 m²,3 phòng,4 WC,5,Sổ đỏ,2025-11-22
"(HOT)  Liễu Giai – Đội Cấn 45m², MT 5.3m, Ngõ Rộng, Vừa Ở Vừa Cho Thuê","10,5 tỷ","Phường Cống Vị, Quận Ba Đình, Hà Nội",45 m²,3 phòng,5 WC,4,Giấy tờ hợp lệ,2025-11-22
"Cực hiếm nhỉnh 3 tỷ có nhà 19m2 x 4 tầng, Tân Ấp, Ba Đình, Hà Nội","3,48 tỷ","Phường Phúc Xá, Quận Ba Đình, Hà Nội",19 m² (3.0x6.1),3 phòng,3 WC,4,Giấy tờ hợp lệ,2025-11-22
"Chính chủ bán nhà Văn Cao Liễu Giai. Ba Đình. Hà Nội. 19m x 5 tầng 4,9","4,95 tỷ","Phường Liễu Giai, Quận Ba Đình, Hà Nội",19 m²,3 phòng,4 WC,5,Sổ đỏ,2025-11-22
SIÊU PHẨM VIEW HỒ NGỌC HÀ – NGÕ THÔNG  – Ở SƯỚNG KINH DOANH ĐỈNH,"7,2 tỷ","Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32 m²,3 phòng,3 WC,5,Giấy tờ hợp lệ,2025-11-22
Nhà mới siêu đẹp phố Phan Kế Bính,"13,1 tỷ","Đường Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",48 m²,2,N/A,6,Sổ đỏ,2025-11-21
BÁN NHÀ PHAN KẾ BÍNH —BA ĐÌNH – OTO ĐỖ CỔNG – 10M RA PHỐ,12 tỷ,"Phường Cống Vị, Quận Ba Đình, Hà Nội",46 m²,4 phòng,4 WC,6,Giấy tờ hợp lệ,2025-11-21
BÁN Nhà Nghĩa Dũng Ba Đình Ô Tô Tránh 50m2 4 Tầng Nhỉnh 9 Tỷ,9 tỷ,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",50 m²,4 phòng,2,4,Giấy tờ hợp lệ,2025-11-21
SIÊU HIẾM TRUNG TÂM BA ĐÌNH – VÀI BƯỚC RA PHỐ KIM MÃ – NGÕ RỘNG THOÁNG,"8,2 tỷ","Phường Kim Mã, Quận Ba Đình, Hà Nội",40 m²,4 phòng,4 WC,5,Giấy tờ hợp lệ,2025-11-21
"Bán nhà mặt phố thụy Khuê, bd,dt :80 m x 5 tg,mt:4m, giá: 34,5 tỷ","34,5 tỷ","Đường Thụy Khuê, Phường Quán Thánh, Quận Ba Đình, Hà Nội",80 m² (4.0x20.0),4 phòng,4 WC,5,Sổ đỏ,2025-11-21
"Bán nhà Ba Đình 50m2, vỉa hè 2 bên, ô tô qua, ngõ thông kinh doanh","19,2 tỷ","Đường Thành Công, Phường Giảng Võ, Quận Ba Đình, Hà Nội",50 m²,N/A,N/A,5,Sổ đỏ,2025-11-21
"Bán nhà mặt ngõ 135 đội Cấn ,BD,dt:30 m x 5 tg, mt:6m, giá :15 tỷ",15 tỷ,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",30 m² (6.0x5.0),3 phòng,4 WC,5,Sổ đỏ,2025-11-21
"BÁN NHÀ ĐỘI CẤN – BA ĐÌNH – 5 TẦNG ĐẸP  – GẦN PHỐ, TIỆN ÍCH BỦA VÂY",6 tỷ,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32 m²,3 phòng,4 WC,5,Giấy tờ hợp lệ,2025-11-20
"VIP - HOÀNG HOA THÁM - VĨNH PHÚC - BA ĐÌNH - 45M - 4 TẦNG - MT 4,7M","13,3 tỷ","Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",45 m² (4.7x9.0),4 phòng,3 WC,4,Sổ đỏ,2025-11-20
NHÀ HIẾM LÁNG HẠ – BA ĐÌNH – THIẾT KẾ HIỆN ĐẠI – THOÁNG TRƯỚC SAU,"7,1 tỷ","Phường Thành Công, Quận Ba Đình, Hà Nội",38 m²,3 phòng,4 WC,5,Giấy tờ hợp lệ,2025-11-20
"MẶT NGÕ THÔNG - KINH DOANH ĐỈNH- HOÀNG HOA THÁM GẦN NGỌC HÀ, ĐỘI CẤN","10,8 tỷ","Phường Ngọc Hà, Quận Ba Đình, Hà Nội",30 m²,3 phòng,4 WC,6,Giấy tờ hợp lệ,2025-11-20
"Ban nhà mặt phố hang than,dt 25mx5 tg, giá :15 ty",15 tỷ,"Đường Hàng Than, Phường Quán Thánh, Quận Ba Đình, Hà Nội",25 m²,4 phòng,4 WC,5,Sổ đỏ,2025-11-20
Bán nhà Ngõ An Dương 40m lô góc 2.1 tỷ.,"2,1 tỷ","Đường An Dương, Phường Phúc Xá, Quận Ba Đình, Hà Nội",20 m²,1 phòng,2 WC,N/A,Hợp đồng mua bán,2025-11-20
