tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán gấp nhà Đề Thám, P. Cầu Ông Lãnh, Q. 1 - sau MT, 4 tầng, ngang 4.1m - chỉ 13.1 tỷ","13,1 tỷ","Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",42 m²,5 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"CHDV cao cấp Lê Thị Riêng, sát Trần Hưng Đạo, Quận 1 - DT 110m², 6 PN, 6WC, dòng tiền 80tr/tháng",25 tỷ,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",110 m²,6 phòng,6 phòng,4 tầng,Sổ đỏ/ Sổ hồng,25/11/2025
Bán Nhà 4 Lầu Ngay Nguyễn Cư Trinh . Hẻm Xe Hơi Đang Cho Thuê Kinh Doanh . Doanh Thu 120 Tr / Thang,"24,5 tỷ","Đường Nguyễn Cư Trinh, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",59 m²,10 phòng,N/A,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Bán khách sạn Phạm Ngũ Lão Quận 1. Sát Bùi Viện đang kinh doanh ổn định 6 lầu. Giá 23 tỉ,23 tỷ,"Hẻm 283, Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",52 m²,9 phòng,N/A,6 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Góc 2 mặt tiền hẻm Nguyễn Thị Minh Khai, Q1 - 2 tầng, gần 30m2, HDT 16tr/th giá 8 tỷ.0906 871 ***",8 tỷ,"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh",28 m²,N/A,N/A,2 tầng,Sổ đỏ/ Sổ hồng,19/11/2025
Nhà nhỏ 3 lầu sổ riêng quận 1 đường Bùi Viện,"2,38 tỷ","Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",10 m²,3 phòng,N/A,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán Nhà VIP Tôn Thất Tùng, Quận 1 - 71.5m², 13 CHDV, thang máy, dòng tiền 95tr/tháng - giá 35 tỷ",35 tỷ,"Đường Tôn Thất Tùng, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","71,5 m²",13 phòng,13 phòng,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Sốc giảm 500tr vừa ở vừa cho thuê ngay Trần Đình Xu - Q1 - 50m2 - công chứng ngay,Thỏa thuận,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",50 m²,3 phòng,3 phòng,2 tầng,Sổ đỏ/ Sổ hồng,17/11/2025
Chính chủ bán gấp nhà hẻm xe hơi DT 12x14m đường Nguyễn Bỉnh Khiêm Quận 1 giá 35 tỷ thương lượng,35 tỷ,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",170 m²,N/A,N/A,4 tầng,Có sổ.,23/11/2025
"Bán ngay nhà quận 1, 50m2 có SHR chính chủ, hẻm oto6m ra vào. Lh em ngay để e hỗ trợ",Thỏa thuận,"Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh",50 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,25/11/2025
"Nhà Nguyễn Trãi - 60m 16tỷ - trung tâm quận 1. 4 lầu, 4 PN, 5WC, hoàn công đủ, SHR, HXH",16 tỷ,"Hẻm 263 Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",60 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Siu phẩm trung tâm Q1, đã có ngay nhà full nội thất 42m2, HXH, LH ngay",Thỏa thuận,"Đường Cô Bắc, Phường Cô Giang, Quận 1, Hồ Chí Minh",42 m²,2 phòng,2 phòng,2 tầng,Sổ hồng riêng,13/11/2025
"Tòa CHDV hẻm xe tải, dòng tiền 120tr/th 6m x 18 hầm, 6 lầu. Nguyễn Trãi, Quận 1 giá 30 tỷ",30 tỷ,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",109 m²,N/A,N/A,7 tầng,Có sổ.,12/11/2025
"Nhà cực hiếm 3 tầng ngay Bùi Thị Xuân, Quận 1, thích hợp kinh doanh cho thuê, SHR",Thỏa thuận,"Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",44 m²,3 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Phạm Viết Chánh Quận 1 - 50m2 cách ô tô đỗ 5m - nhà mới đẹp giá tốt,13 tỷ,"Đường Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",50 m²,4 phòng,5 phòng,4 tầng,Sổ đỏ/ Sổ hồng,25/11/2025
"Cực kỳ hiếm! Khu Nguyễn Đình Chiểu, ĐaKao, Q1 - 4,35 x 15,2m - Hầm 6 tầng - 45tr/th - Chỉ 21 tỷ",21 tỷ,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh","52,8 m²",N/A,N/A,6 tầng,Sổ đỏ/ Sổ hồng,25/11/2025
"Nhà hẻm xe hơi gần Trần Hưng Đạo, Trần Đình Xu Quận 1, 60.9m², 4phòng, tiện mở văn phòng & cho thuê",18 tỷ,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh","60,9 m²",4 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Hàng hót CHDV cao cấp góc 2 mặt tiền 40A Tôn Thất Tùng, P. Bến Thành, Quận 1 TP. HCM",35 tỷ,"40A, Đường Tôn Thất Tùng, Phường Bến Thành, Quận 1, Hồ Chí Minh","78,75 m²",13 phòng,13 phòng,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
"Bán nhà hẻm xe hơi Nguyễn Trãi Quận 1, gần Trần Hưng Đạo - DT 53.8m², 4PN, đầu tư & cho thuê ngay","15,7 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","53,8 m²",4 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
Quận 1 Nguyễn Văn Nguyễn 8.5 tỷ - Căn hiếm chốt nhanh,"8,5 tỷ","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",50 m²,5 phòng,5 phòng,3 tầng,Sổ đỏ/ Sổ hồng,27/11/2025
