tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán gấp tòa nhà Nguyễn Thị Minh Khai, Quận 1, 5x23m H+5L, TM, 39 tỷ",39.0,"Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, TPHCM",110.0,12,13,5,Giấy tờ không xác định,2025-11-25
"Bán Tòa nhà góc 3MT Thái Văn Lung, Lê Thánh Tôn, Bến Nghé, H+8 tầng,",130.0,"Thái Văn Lung, Phường Bến Nghé, Quận 1, TPHCM",80.0,8,8,8,Giấy tờ không xác định,2025-11-25
"Bán tòa nhà mặt tiền gần Hai Bà Trưng, Q1, 6.5x23m, 5L, giá 69.9 tỷ TL",69.9,"Hai Bà Trưng, Phường Tân Định, Quận 1, TPHCM",145.0,5,5,5,Giấy tờ không xác định,2025-11-25
"Bán nhà mặt tiền ngay Điện Biên Phủ, Quận 1 2 chiều 9.5x25m, giá 125 t",125.0,"Điện Biên Phủ, Phường Đa Kao, Quận 1, TPHCM",230.0,2,2,1,Giấy tờ không xác định,2025-11-25
"Bán nhà Mt ngay Đinh Tiên Hoàng, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32.9,"Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TPHCM",70.0,10,11,6,Giấy tờ không xác định,2025-11-25
"Bán nhà Mt ngay Võ Thị Sáu, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32.9,"Võ Thị Sáu, Phường Tân Định, Quận 1, TPHCM",70.0,10,11,6,Giấy tờ không xác định,2025-11-25
"Bán nhà khu sang trọng Phạm Viết Chánh, Nguyễn Cư Trinh, Q1, 6x19m, 4L",24.999,"Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",110.0,6,6,4,Sổ hồng,2025-11-25
"Bán nhà 2 Mt Nguyễn Bỉnh Khiêm P.Bến Nghé, Quận 1, 5x20m 3 Tầng , 34.3",34.499,"Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, TPHCM",100.0,6,6,3,Giấy tờ không xác định,2025-11-25
"Bán nhà Hẻm XH Nguyễn Trãi, Quận 1- 87m2 (4.8 x 18.5) - 5 tầng, hẻm 8m",17.999,"Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",88.0,7,7,13,Giấy tờ không xác định,2025-11-25
"Bán nhà mặt tiền đường huyền quang, quận 1 ngang 4m dài 15m 3 tầng",18.5,"Huyền Quang, Phường Tân Định, Quận 1, TPHCM",60.0,3,4,9,Sổ hồng,2025-11-25
"Bán nhà Mt gần Thạch Thị Thanh, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32.9,"Thạch Thị Thanh, Phường Tân Định, Quận 1, TPHCM",66.0,10,11,6,Giấy tờ không xác định,2025-11-25
"Bán nhà đương Nguyễn Trãi - Tôn Thất Tùng, Bùi Thị Xuân, Bến Thành, q1",29.0,"Nguyễn Trãi, Phường Bến Thành, Quận 1, TPHCM",83.0,5,5,2,Giấy tờ không xác định,2025-11-25
"Bán nhà góc 2MT Hẻm XT Trần Hưng Đạo, Quận 1, 6x15m, 4 lầu, 23.5tỷ",23.5,"Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, TPHCM",68.0,8,8,7,Giấy tờ không xác định,2025-11-25
Mặt Tiền Cô Giang Q1 Ngang 4m Dài 20m 5 Tầng Giá 35 Tỷ gần Bến Thành,35.0,"Cô Giang, Phường Cầu Ông Lãnh, Quận 1, TPHCM",74.0,5,5,73,Sổ hồng,2025-11-25
