tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Bán nhà Kim Mã, Ba Đình vài bước ra phố, 74m2, 6t, mt 4.3m, đẹp ở ngay",21.9,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",74.0,5,5,6,Sổ hồng,2025-11-25
"VĨNH PHÚC - BA ĐÌNH - PHÂN LÔ VỈA HÈ – Ô TÔ TRÁNH -KD 55M2*5T 19,6TY.",19.6,"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",55.0,5,5,5,Giấy tờ không xác định,2025-11-25
BÁN NHÀ ĐỘI CẤN – BA ĐÌNH - VIEW HỒ - 5 TẦNG ĐẸP Ở NGAY,8.2,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",38.0,3,4,5,Giấy tờ không xác định,2025-11-25
"Cần bán hà riêng 91m chính chủ phường Kim Mã, phố Kim Mã quận Ba Đình",22.0,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",91.0,4,3,4,Sổ đỏ,2025-11-24
"Bán gấp nhà 4 tầng Ngọc Hà Ba Đình 8,15 tỷ",8.15,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",40.0,3,3,5,Sổ đỏ,2025-11-21
Lô góc 5T đẹp ngõ Đào Tấn ngõ ba gác cách Mp 40m cách oto 10m,13.4,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",40.0,4,4,5,Sổ đỏ,2025-11-24
"Bán nhà Đội Cấn. Giang Văn Minh. Ba Đình. Hà Nội 20m x 5 tầng 4,9 tỷ.",4.9,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",20.0,3,4,5,Sổ đỏ,2025-11-24
GẤP - MẶT PHỐ VĨNH PHÚC - BA ĐÌNH - 60M - 5 TẦNG - VỈA HÈ 10M,26.5,"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",60.0,6,4,5,Sổ đỏ,2025-11-24
"Đất 38m² HOÀNG HOA THÁM, ngõ nông, trước nhà thoáng sáng.",7.75,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",38.0,4,4,5,Sổ đỏ,2025-11-24
VIP - PHÂN LÔ 2 Ô TÔ - PHỐ VĨNH PHÚC - BA ĐÌNH -55M - 5 TẦNG - MT 4M,19.7,"Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",55.0,5,4,5,Sổ đỏ,2025-11-23
"Bán nhà mặt phố Phạm Hồng Thái, BD,DT:55 m / 60 m x5 TG, GIÁ: 32 TY",32.0,"Đường Phạm Hồng Thái, Phường Quán Thánh, Quận Ba Đình, Hà Nội",55.0,4,5,5,Sổ đỏ,2025-11-23
Dòng Tiền Ba Đình 60m2 - 7 Tầng Thang Máy - 17 Phòng KK - Gần Phố,15.0,"Phường Đội Cấn, Quận Ba Đình, Hà Nội",60.0,11,7,7,Giấy tờ không xác định,2025-11-23
SIÊU PHẨM VIEW HỒ NGỌC HÀ – NGÕ THÔNG  – Ở SƯỚNG KINH DOANH ĐỈNH,7.2,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32.0,3,3,5,Giấy tờ không xác định,2025-11-22
"Chính chủ bán nhà Văn Cao Liễu Giai. Ba Đình. Hà Nội. 19m x 5 tầng 4,9",4.95,"Phường Liễu Giai, Quận Ba Đình, Hà Nội",19.0,3,4,5,Sổ đỏ,2025-11-22
"(HOT)  Liễu Giai – Đội Cấn 45m², MT 5.3m, Ngõ Rộng, Vừa Ở Vừa Cho Thuê",10.5,"Phường Cống Vị, Quận Ba Đình, Hà Nội",45.0,3,5,4,Giấy tờ không xác định,2025-11-22
"Cực hiếm nhỉnh 3 tỷ có nhà 19m2 x 4 tầng, Tân Ấp, Ba Đình, Hà Nội",3.48,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",19.0,3,3,4,Giấy tờ không xác định,2025-11-22
Bán nhà Kim Mã. Thông Núi Trúc. Ba Đình. Hà Nội 18'5m x 6 tầng ô tô 30,4.9,"Đường Kim Mã, Phường Giảng Võ, Quận Ba Đình, Hà Nội",19.0,3,4,6,Sổ đỏ,2025-11-22
BÁN Nhà Nghĩa Dũng Ba Đình Ô Tô Tránh 50m2 4 Tầng Nhỉnh 9 Tỷ,9.0,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",50.0,4,2,4,Giấy tờ không xác định,2025-11-21
"Bán nhà mặt ngõ 135 đội Cấn ,BD,dt:30 m x 5 tg, mt:6m, giá :15 tỷ",15.0,"Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",30.0,3,4,5,Sổ đỏ,2025-11-21
BÁN NHÀ PHAN KẾ BÍNH —BA ĐÌNH – OTO ĐỖ CỔNG – 10M RA PHỐ,12.0,"Phường Cống Vị, Quận Ba Đình, Hà Nội",46.0,4,4,6,Giấy tờ không xác định,2025-11-21
"Bán nhà mặt phố thụy Khuê, bd,dt :80 m x 5 tg,mt:4m, giá: 34,5 tỷ",34.5,"Đường Thụy Khuê, Phường Quán Thánh, Quận Ba Đình, Hà Nội",80.0,4,4,5,Sổ đỏ,2025-11-21
SIÊU HIẾM TRUNG TÂM BA ĐÌNH – VÀI BƯỚC RA PHỐ KIM MÃ – NGÕ RỘNG THOÁNG,8.2,"Phường Kim Mã, Quận Ba Đình, Hà Nội",40.0,4,4,5,Giấy tờ không xác định,2025-11-21
"BÁN NHÀ ĐỘI CẤN – BA ĐÌNH – 5 TẦNG ĐẸP  – GẦN PHỐ, TIỆN ÍCH BỦA VÂY",6.0,"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",32.0,3,4,5,Giấy tờ không xác định,2025-11-20
"VIP - HOÀNG HOA THÁM - VĨNH PHÚC - BA ĐÌNH - 45M - 4 TẦNG - MT 4,7M",13.3,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",45.0,4,3,4,Sổ đỏ,2025-11-20
NHÀ HIẾM LÁNG HẠ – BA ĐÌNH – THIẾT KẾ HIỆN ĐẠI – THOÁNG TRƯỚC SAU,7.1,"Phường Thành Công, Quận Ba Đình, Hà Nội",38.0,3,4,5,Giấy tờ không xác định,2025-11-20
