tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"Quận 1 - HXH Trần Đình Xu - ô tô đỗ cửa - 3 tầng - dòng tiền 20tr/tháng - 48,4m2 - 11.2 tỷ!",11.2,"Đường Trần Đình Xu, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",48.0,4.0,3.0,3.0,Sổ hồng,2025-11-27
"Cực hiếm! Toà nhà 5 tầng (10x8m) HXH đường Trần Hưng Đạo, Q1. Chỉ 25,8 tỷ TL",25.8,"Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",63.0,7.0,8.0,5.0,Sổ hồng,2025-11-25
"Bán nhà góc 3 mặt thoáng Trần Hưng Đạo, Quận 1 - hẻm ô tô thẳng, tiềm năng cho thuê cao - chỉ 8,5tỷ",8.5,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",49.0,2.0,2.0,2.0,Sổ hồng,2025-11-27
"AirBNB & CHDV Đề Thám, gần Trần Hưng Đạo Quận 1 - 5 PN, dòng tiền 40~60tr/tháng - giá chỉ 13,5 tỷ",13.5,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",42.0,5.0,6.0,4.0,Sổ hồng,2025-11-25
"Bán nhà hẻm xe hơi Lê Thị Riêng, gần Trần Hưng Đạo Quận 1 - 5PN, 4WC, sổ hồng, giá 23 tỷ",23.0,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh",62.0,5.0,4.0,4.0,Sổ hồng,2025-11-27
Bán nhà đường Trần Đình Xu Quận 1 cách 1 căn là HXH - 3 tầng BTCT nhà mới đẹp chỉ 5.7 tỷ,5.7,"Hẻm 19, Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",21.0,3.0,2.0,3.0,Sổ hồng,2025-11-26
"Bán nhà đường Nguyễn Trãi Quận 1 nhà 2 tầng 60m2 cách MT 20m giá chỉ 9,8 tỷ",9.8,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",42.0,3.0,2.0,2.0,Sổ hồng,2025-11-26
"Bán nhà HXH góc 3MT đường Trần Hưng Đạo Q1, KC: 2 tầng chỉ 8.5 tỷ pháp lý sạch mua có thể ở ngay",8.5,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",25.0,2.0,2.0,2.0,Sổ hồng,2025-11-26
"Bán nhà 1/ Trần Đình Xu, Quận 1 gần mặt tiền, hẻm xe hơi",3.89,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",10.0,3.0,2.0,3.0,Sổ hồng,2025-11-26
"Bán nhà 3 tầng Trần Hưng Đạo Quận 1 - Hẻm xe hơi thông Nguyễn Trãi, nội thất nhập Đức, giá 19 tỷ",19.0,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",51.0,2.0,3.0,3.0,Sổ hồng,2025-11-26
"CHDV cao cấp Thạch Thị Thanh, Q1. Ngang 6m x dài 20m, 6 tầng có thang máy TN 120tr/th, giá chỉ 19tỷ",19.0,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh",120.0,16.0,16.0,6.0,Sổ hồng,2025-11-24
Chủ nhà decor thẩm mỹ Spa và đẹp lung linh gần 1tỷ- Giá dưới 250tr/1m2 Có sẵn dòng tiền 40tr/1th,18.9,"Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",80.0,6.0,6.0,5.0,Sổ hồng,2025-11-26
Hẻm xe hơi 8m Trần Hưng Đạo Quận 1. Bề ngang 8m căn góc 4 lầu giá 25.8 tỷ TL,25.8,"Đường Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",63.0,7.0,8.0,5.0,Sổ hồng,2025-11-15
"Bán nhà hẻm đẹp! Trần Khánh Dư P. Tân Định Q.1 (3,2 x 12 m)2 tầng nhà đẹp ở ngay giá 6.9 tỷ TL",6.9,"Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh",36.0,2.0,2.0,2.0,Sổ hồng,2025-11-26
BÁN NHÀ CHỢ BẾN THÀNH NGAY CÔNG VIÊN 23/9 - Đ.LÊ LAI Q1,21.0,"Đường Lê Lai, Phường Bến Thành, Quận 1, Hồ Chí Minh",63.0,5.0,5.0,6.0,Sổ hồng,2025-11-13
Hẻm xe hơi 1 trục ra Hoàng Sa nhà BTCT 4 tầng,5.89,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",25.0,3.0,4.0,4.0,Sổ hồng,2025-11-24
"Nhà mới phố tây - Bùi Viện - 3.4x8 (25m2), 2tầng - nhỉnh 3tỷ",3.95,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",25.0,2.0,2.0,2.0,Sổ hồng,2025-11-26
3TỶ350 BÁN NHÀ QUẬN 1 NGAY LÝ TỰ TRỌNG | DT: 48M2 | TẶNG FULL NỘI THẤT | HẺM RỘNG 5M | GIẢM 100TR,3.35,"Đường Lý Tự Trọng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",48.0,4.0,4.0,3.0,Sổ hồng,2025-11-14
Quận 1 Trần Đình Xu 5.7 tỷ - HXH - Căn hiếm chốt nhanh,5.7,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",21.0,2.0,2.0,3.0,Sổ hồng,2025-11-26
"NHÀ 115/ TRẦN ĐÌNH XU Q1, 2 MẶT HẺM 4M, 4 TẦNG, 6PN, GIÁ CHỈ 7.5 TỶ TL",7.5,"115/ Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",31.0,5.0,6.0,5.0,Sổ hồng,2025-11-23
"Nhà nở hậu đẹp, ko LG QH - Nguyễn Văn Cừ - 3.1x8(24m2), 3tầng - 5.35tỷ",5.35,"Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",24.0,3.0,2.0,3.0,Sổ hồng,2025-11-26
Quận 1 Bùi Viện 5.75 tỷ - Giá mềm tài lộc hanh thông,5.75,"Đường Bùi Viện, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",22.0,2.0,3.0,3.0,Sổ hồng,2025-11-26
"4TỶ180 [ HÀNG ĐỘC QUYỀN, QUẬN 1 ] ngay Trần Quý Khoách, Q.1 đang sẳn dòng tiền cho thuê 1200 usd",4.18,"Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh",63.0,4.0,5.0,3.0,Sổ hồng,2025-11-07
"Bán nhà hẻm xe hơi Nguyễn Trãi Quận 1, gần Trần Hưng Đạo - 53.8m², 4PN, tiện ở ngay - Giá 15,7 tỷ",15.7,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",53.0,4.0,5.0,5.0,Sổ hồng,2025-11-16
"Nhà đường Nguyễn Trãi 6x18m, hầm 5 lầu ngay Landcaster cho thuê 150tr/th, giá 36 tỷ TL",36.0,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",109.0,14.0,15.0,6.0,Sổ hồng,2025-11-21
"Nhà HXH 8m đường Nguyễn Cảnh Chân 5x14m, nhà 3 lầu ST gần Nguyễn Trãi giá 16.8 tỷ TL",16.8,"Đường Nguyễn Cảnh Chân, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",60.0,5.0,6.0,3.0,Sổ hồng,2025-11-19
"Bán nhà hẻm ô tô, Q.1, Trần Khắc Chân",11.6,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",52.0,3.0,3.0,3.0,Sổ hồng,2025-11-25
"Bán nhà HXH 150 Nguyễn Trãi, Bến Thành Q1 4.3x22m, nhà 4 tầng giá 25.5 tỷ TL",25.5,"HXH 150, Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh",92.0,5.0,6.0,4.0,Sổ hồng,2025-11-15
"Kiệt tác kiến trúc Quận 1 - view bờ kè Hoàng Sa, 3 lầu BTCT, dòng tiền 39tr/tháng - giá 15 tỷ",15.0,"Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",52.0,3.0,4.0,4.0,Sổ hồng,2025-11-16
"Nhà đường Trần Hưng Đạo, Quận 1, hẻm xe hơi, mặt tiền 10m, phù hợp kinh doanh, 49m2 giá chỉ 8,5 tỷ",8.5,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh",49.0,2.0,2.0,2.0,Sổ hồng,2025-11-15
"Nhà đường Nguyễn Bỉnh Khiêm, Quận 1, 4 tầng mới đẹp, 2 mặt thoáng, 3x9 vuông vức, giá chỉ 7,2 tỷ",7.2,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",27.0,2.0,2.0,3.0,Sổ hồng,2025-11-18
"Nhà Trần Khắc Chân, Tân Định, Quận 1, hẻm oto, căn góc, nở hậu, hoàn công đủ, chỉ 4,68 tỷ",4.68,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh",25.0,2.0,2.0,2.0,Sổ hồng,2025-11-20
"Nhà Đẹp + Siêu Thoáng | 2 Mặt Hẻm Bùi Viện, Quận 1| DT: 30m2 - 4 Tầng full nội thất| Giá chỉ 8,3 tỷ",8.3,"Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",30.0,4.0,3.0,4.0,Sổ hồng,2025-11-26
